iter	Passed	Remaining
690	11868	5307
691	11898	5295
692	11935	5287
693	11954	5270
694	11965	5250
695	11973	5229
696	12003	5218
697	12018	5200
698	12029	5179
699	12044	5161
700	12069	5148
701	12084	5129
702	12094	5109
703	12117	5094
704	12136	5078
705	12149	5059
706	12160	5039
707	12189	5027
708	12205	5009
709	12216	4989
710	12234	4973
711	12254	4957
712	12267	4937
713	12277	4917
714	12285	4897
715	12313	4884
716	12327	4865
717	12338	4845
718	12348	4826
719	12372	4811
720	12388	4793
721	12400	4774
722	12415	4756
723	12447	4745
724	12462	4727
725	12473	4707
726	12482	4687
727	12507	4673
728	12521	4654
729	12531	4634
730	12540	4614
731	12569	4601
732	12581	4583
733	12593	4563
734	12614	4548
735	12639	4533
736	12652	4515
737	12663	4495
738	12691	4482
739	12705	4464
740	12717	4444
741	12725	4424
742	12754	4411
743	12768	4393
744	12780	4374
745	12791	4355
746	12817	4340
747	12832	4323
748	12842	4303
749	12872	4290
750	12889	4273
751	12900	4254
752	12909	4234
753	12921	4215
754	12949	4202
755	12963	4184
756	12974	4164
757	12983	4144
758	13011	4131
759	13026	4113
760	13038	4095
761	13063	4080
762	13083	4063
763	13095	4045
764	13104	4025
765	13132	4011
766	13147	3993
767	13159	3975
768	13168	3955
769	13196	3941
770	13211	3924
771	13222	3905
772	13231	3885
773	13262	3872
774	13278	3855
775	13288	3835
776	13313	3821
777	13331	3804
778	13342	3785
779	13351	3765
780	13364	3747
781	13393	3733
782	13408	3715
783	13417	3696
784	13429	3678
785	13452	3662
786	13465	3644
787	13478	3626
788	13495	3608
789	13521	3594
790	13533	3575
791	13542	3556
792	13581	3545
793	13595	3527
794	13606	3508
795	13621	3490
796	13646	3475
797	13663	3458
798	13675	3440
799	13685	3421
800	13711	3406
801	13744	3393
802	13760	3375
803	13785	3360
804	13800	3342
805	13809	3323
806	13820	3305
807	13850	3291
808	13864	3273
809	13875	3254
810	13885	3236
811	13916	3221
812	13932	3204
813	13943	3186
814	13952	3167
815	13982	3152
816	13998	3135
817	14010	3117
818	14023	3099
819	14048	3083
820	14063	3066
821	14073	3047
822	14084	3029
823	14112	3014
824	14127	2996
825	14137	2978
826	14161	2962
827	14175	2944
828	14186	2926
829	14198	2908
830	14224	2892
831	14237	2874
832	14248	2856
833	14257	2837
834	14282	2822
835	14296	2804
836	14308	2786
837	14317	2767
838	14347	2753
839	14364	2736
840	14375	2717
841	14385	2699
842	14394	2680
843	14420	2665
844	14432	2647
845	14443	2629
846	14459	2611
847	14481	2595
848	14494	2577
849	14504	2559
850	14513	2541
851	14541	2525
852	14555	2508
853	14566	2490
854	14575	2471
855	14606	2457
856	14622	2439
857	14633	2421
858	14644	2403
859	14667	2387
860	14680	2369
861	14690	2351
862	14699	2333
863	14727	2318
864	14740	2300
865	14751	2282
866	14761	2264
867	14788	2248
868	14803	2231
869	14815	2213
870	14830	2196
871	14859	2181
872	14873	2163
873	14883	2145
874	14893	2127
875	14918	2111
876	14934	2094
877	14945	2076
878	14954	2058
879	14981	2042
880	14995	2025
881	15006	2007
882	15015	1989
883	15046	1974
884	15063	1957
885	15074	1939
886	15082	1921
887	15107	1905
888	15120	1887
889	15132	1870
890	15143	1852
891	15170	1836
892	15182	1819
893	15194	1801
894	15203	1783
895	15238	1768
896	15257	1751
897	15269	1734
898	15283	1717
899	15311	1701
900	15326	1684
901	15338	1666
902	15348	1648
903	15374	1632
904	15388	1615
905	15399	1597
906	15408	1579
907	15434	1563
908	15448	1546
909	15460	1529
910	15488	1513
911	15506	1496
912	15519	1478
913	15528	1461
914	15558	1445
915	15573	1428
916	15584	1410
917	15593	1392
918	15622	1376
919	15640	1360
920	15650	1342
921	15679	1326
922	15700	1309
923	15714	1292
924	15742	1276
925	15761	1259
926	15773	1242
927	15800	1225
928	15820	1209
929	15833	1191
930	15846	1174
931	15872	1158
932	15886	1140
933	15897	1123
934	15913	1106
935	15941	1090
936	15954	1072
937	15965	1055
938	15981	1038
939	16003	1021
940	16017	1004
941	16028	986
942	16041	969
943	16064	952
944	16079	935
945	16090	918
946	16098	900
947	16128	884
948	16145	867
949	16156	850
950	16184	833
951	16203	817
952	16215	799
953	16224	782
954	16234	764
955	16242	747
956	16262	730
957	16274	713
958	16295	696
959	16321	680
960	16338	663
961	16354	646
962	16368	628
963	16382	611
964	16397	594
965	16416	577
966	16444	561
967	16459	544
968	16470	526
969	16485	509
970	16498	492
971	16532	476
972	16550	459
973	16563	442
974	16580	425
975	16611	408
976	16629	391
977	16644	374
978	16654	357
979	16684	340
980	16700	323
981	16714	306
982	16745	289
983	16763	272
984	16778	255
985	16790	238
986	16814	221
987	16837	204
988	16849	187
989	16866	170
990	16879	153
991	16897	136
992	16913	119
993	16929	102
994	16943	85
995	16961	68
996	16978	51
997	16993	34
998	17010	17
999	17041	0
